Year;variable2;cod;variable;bd;area;Distribución de la producción bibliografica de autores vinculados a la institución por área OCDE;Distribución de la producción bibliografica de autores vinculados a la institución por área OCDE. (SCIELO);Distribución de la producción bibliografica de autores vinculados a la institución por área OCDE. (SCOPUS);Distribución de la producción bibliografica de autores vinculados a la institución por área OCDE. (WOS core collection);Producción bibliográfica de autores vinculados a la institución por tipo de coautoría;Producción bibliográfica de autores vinculados a la institución por tipo de coautoría (WOS core collection);Producción bibliográfica de autores vinculados a la institución por tipo de coautoría . (SCIELO);Producción bibliográfica de autores vinculados a la institución por tipo de coautoría . (SCOPUS);Producción bibliográfica de autores vinculados a la institución por tipo de producto;Producción bibliográfica de autores vinculados a la institución por tipo de producto. (SCIELO);Producción bibliográfica de autores vinculados a la institución por tipo de producto. (SCOPUS);Producción bibliográfica de autores vinculados a la institución por tipo de producto. (WOS core collection);Promedio de citas de documentos publicados por autores vinculados a la institución;Promedio de citas de documentos publicados por autores vinculados a la institución. (SCIELO);Promedio de citas de documentos publicados por autores vinculados a la institución. (SCOPUS);Promedio de citas de documentos publicados por autores vinculados a la institución. (WOS core collection);Departamento
2010;Agricultural Sciences;66;scielo;SCIELO;Producción bibliográfica;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Risaralda
2010;Agricultural Sciences;66;scopus;SCOPUS;Producción bibliográfica;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Risaralda
2010;Agricultural Sciences;66;TOTAL;TOTAL;Producción bibliográfica;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Risaralda
2010;Agricultural Sciences;66;wos;WOS;Producción bibliográfica;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Risaralda
2010;Agricultural Sciences;68;scielo;SCIELO;Producción bibliográfica;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Santander
2010;Agricultural Sciences;68;scopus;SCOPUS;Producción bibliográfica;NA;NA;34;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Santander
2010;Agricultural Sciences;68;TOTAL;TOTAL;Producción bibliográfica;36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Santander
2010;Agricultural Sciences;68;wos;WOS;Producción bibliográfica;NA;NA;NA;18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Santander
2010;Agricultural Sciences;70;scielo;SCIELO;Producción bibliográfica;NA;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Sucre
2010;Agricultural Sciences;70;scopus;SCOPUS;Producción bibliográfica;NA;NA;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Sucre
2010;Agricultural Sciences;70;TOTAL;TOTAL;Producción bibliográfica;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Sucre
2010;Agricultural Sciences;70;wos;WOS;Producción bibliográfica;NA;NA;NA;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Sucre
2010;Agricultural Sciences;73;scielo;SCIELO;Producción bibliográfica;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Tolima
2010;Agricultural Sciences;73;scopus;SCOPUS;Producción bibliográfica;NA;NA;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Tolima
2010;Agricultural Sciences;73;TOTAL;TOTAL;Producción bibliográfica;23;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Tolima
2010;Agricultural Sciences;73;wos;WOS;Producción bibliográfica;NA;NA;NA;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Tolima
2010;Agricultural Sciences;76;scielo;SCIELO;Producción bibliográfica;NA;43;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Valle del Cauca
2010;Agricultural Sciences;76;scopus;SCOPUS;Producción bibliográfica;NA;NA;140;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Valle del Cauca
2010;Agricultural Sciences;76;TOTAL;TOTAL;Producción bibliográfica;177;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Valle del Cauca
2010;Agricultural Sciences;76;wos;WOS;Producción bibliográfica;NA;NA;NA;103;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Valle del Cauca
2010;Agricultural Sciences;8;scopus;SCOPUS;Producción bibliográfica;NA;NA;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Atlántico
2010;Agricultural Sciences;8;TOTAL;TOTAL;Producción bibliográfica;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Atlántico
2010;Agricultural Sciences;8;wos;WOS;Producción bibliográfica;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Atlántico
2010;Agricultural Sciences;88;scielo;SCIELO;Producción bibliográfica;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;San Andrés y Providencia
2010;Agricultural Sciences;88;scopus;SCOPUS;Producción bibliográfica;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;San Andrés y Providencia
2010;Agricultural Sciences;88;TOTAL;TOTAL;Producción bibliográfica;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;San Andrés y Providencia
2010;Agricultural Sciences;88;wos;WOS;Producción bibliográfica;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;San Andrés y Providencia
2010;Agricultural Sciences;91;scopus;SCOPUS;Producción bibliográfica;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Amazonas
2010;Agricultural Sciences;91;TOTAL;TOTAL;Producción bibliográfica;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Amazonas
2010;Agricultural Sciences;91;wos;WOS;Producción bibliográfica;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Amazonas
2010;Agricultural Sciences;99;scopus;SCOPUS;Producción bibliográfica;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Vichada
2010;Agricultural Sciences;99;TOTAL;TOTAL;Producción bibliográfica;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Vichada
2010;Agricultural Sciences;99;wos;WOS;Producción bibliográfica;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Vichada
2010;Agricultural Sciences;9999;scielo;SCIELO;Producción bibliográfica;NA;360;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2010;Agricultural Sciences;9999;scopus;SCOPUS;Producción bibliográfica;NA;NA;895;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2010;Agricultural Sciences;9999;TOTAL;TOTAL;Producción bibliográfica;1249;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2010;Agricultural Sciences;9999;wos;WOS;Producción bibliográfica;NA;NA;NA;613;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2010;Agricultural Sciences;NA;scielo;SCIELO;Producción bibliográfica;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2010;Agricultural Sciences;NA;scopus;SCOPUS;Producción bibliográfica;NA;NA;23;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2010;Agricultural Sciences;NA;TOTAL;TOTAL;Producción bibliográfica;23;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2010;Agricultural Sciences;NA;wos;WOS;Producción bibliográfica;NA;NA;NA;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2010;Articulo;0;scielo;SCIELO;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;685;NA;NA;NA;NA;NA;NA;Nacional
2010;Articulo;0;scopus;SCOPUS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1968;NA;NA;NA;NA;NA;Nacional
2010;Articulo;0;TOTAL;TOTAL;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;2760;NA;NA;NA;NA;NA;NA;NA;Nacional
2010;Articulo;0;wos;WOS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1542;NA;NA;NA;NA;Nacional
2010;Articulo;11;scielo;SCIELO;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;1713;NA;NA;NA;NA;NA;NA;Bogotá
2010;Articulo;11;scopus;SCOPUS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2100;NA;NA;NA;NA;NA;Bogotá
2010;Articulo;11;TOTAL;TOTAL;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;3869;NA;NA;NA;NA;NA;NA;NA;Bogotá
2010;Articulo;11;wos;WOS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1466;NA;NA;NA;NA;Bogotá
2010;Articulo;13;scielo;SCIELO;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;32;NA;NA;NA;NA;NA;NA;Bolívar
2010;Articulo;13;scopus;SCOPUS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;81;NA;NA;NA;NA;NA;Bolívar
2010;Articulo;13;TOTAL;TOTAL;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;115;NA;NA;NA;NA;NA;NA;NA;Bolívar
2010;Articulo;13;wos;WOS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;49;NA;NA;NA;NA;Bolívar
2010;Articulo;15;scielo;SCIELO;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;71;NA;NA;NA;NA;NA;NA;Boyacá
2010;Articulo;15;scopus;SCOPUS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;42;NA;NA;NA;NA;NA;Boyacá
2010;Articulo;15;TOTAL;TOTAL;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;113;NA;NA;NA;NA;NA;NA;NA;Boyacá
2010;Articulo;15;wos;WOS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;28;NA;NA;NA;NA;Boyacá
2010;Articulo;17;scielo;SCIELO;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;118;NA;NA;NA;NA;NA;NA;Caldas
2010;Articulo;17;scopus;SCOPUS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;82;NA;NA;NA;NA;NA;Caldas
2010;Articulo;17;TOTAL;TOTAL;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;192;NA;NA;NA;NA;NA;NA;NA;Caldas
2010;Articulo;17;wos;WOS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54;NA;NA;NA;NA;Caldas
2010;Articulo;18;scielo;SCIELO;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;Caquetá
2010;Articulo;18;scopus;SCOPUS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9;NA;NA;NA;NA;NA;Caquetá
2010;Articulo;18;TOTAL;TOTAL;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;12;NA;NA;NA;NA;NA;NA;NA;Caquetá
2010;Articulo;18;wos;WOS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;NA;NA;NA;Caquetá
2010;Articulo;19;scielo;SCIELO;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;66;NA;NA;NA;NA;NA;NA;Cauca
2010;Articulo;19;scopus;SCOPUS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;47;NA;NA;NA;NA;NA;Cauca
2010;Articulo;19;TOTAL;TOTAL;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;114;NA;NA;NA;NA;NA;NA;NA;Cauca
2010;Articulo;19;wos;WOS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;35;NA;NA;NA;NA;Cauca
2010;Articulo;20;scielo;SCIELO;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;Cesar
2010;Articulo;20;scopus;SCOPUS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;Cesar
2010;Articulo;20;TOTAL;TOTAL;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;7;NA;NA;NA;NA;NA;NA;NA;Cesar
2010;Articulo;20;wos;WOS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;Cesar
2010;Articulo;23;scielo;SCIELO;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;9;NA;NA;NA;NA;NA;NA;Córdoba
2010;Articulo;23;scopus;SCOPUS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55;NA;NA;NA;NA;NA;Córdoba
2010;Articulo;23;TOTAL;TOTAL;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;69;NA;NA;NA;NA;NA;NA;NA;Córdoba
2010;Articulo;23;wos;WOS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;35;NA;NA;NA;NA;Córdoba
2010;Articulo;25;scielo;SCIELO;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;93;NA;NA;NA;NA;NA;NA;Cundinamarca
2010;Articulo;25;scopus;SCOPUS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;81;NA;NA;NA;NA;NA;Cundinamarca
2010;Articulo;25;TOTAL;TOTAL;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;168;NA;NA;NA;NA;NA;NA;NA;Cundinamarca
2010;Articulo;25;wos;WOS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57;NA;NA;NA;NA;Cundinamarca
2010;Articulo;27;scielo;SCIELO;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;Chocó
2010;Articulo;27;scopus;SCOPUS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;NA;NA;NA;NA;NA;Chocó
2010;Articulo;27;TOTAL;TOTAL;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;11;NA;NA;NA;NA;NA;NA;NA;Chocó
2010;Articulo;27;wos;WOS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;Chocó
2010;Articulo;41;scielo;SCIELO;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;17;NA;NA;NA;NA;NA;NA;Huila
2010;Articulo;41;scopus;SCOPUS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;16;NA;NA;NA;NA;NA;Huila
2010;Articulo;41;TOTAL;TOTAL;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;30;NA;NA;NA;NA;NA;NA;NA;Huila
2010;Articulo;41;wos;WOS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13;NA;NA;NA;NA;Huila
2010;Articulo;44;scielo;SCIELO;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;Guajira
2010;Articulo;44;scopus;SCOPUS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;Guajira
2010;Articulo;44;TOTAL;TOTAL;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;9;NA;NA;NA;NA;NA;NA;NA;Guajira
2010;Articulo;44;wos;WOS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;Guajira
2010;Articulo;47;scielo;SCIELO;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;39;NA;NA;NA;NA;NA;NA;Magdalena
2010;Articulo;47;scopus;SCOPUS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;45;NA;NA;NA;NA;NA;Magdalena
2010;Articulo;47;TOTAL;TOTAL;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;80;NA;NA;NA;NA;NA;NA;NA;Magdalena
2010;Articulo;47;wos;WOS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;27;NA;NA;NA;NA;Magdalena
2010;Articulo;5;scielo;SCIELO;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;609;NA;NA;NA;NA;NA;NA;Antioquia
2010;Articulo;5;scopus;SCOPUS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;745;NA;NA;NA;NA;NA;Antioquia
2010;Articulo;5;TOTAL;TOTAL;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;1364;NA;NA;NA;NA;NA;NA;NA;Antioquia
2010;Articulo;5;wos;WOS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;538;NA;NA;NA;NA;Antioquia
2010;Articulo;50;scielo;SCIELO;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;33;NA;NA;NA;NA;NA;NA;Meta
2010;Articulo;50;scopus;SCOPUS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14;NA;NA;NA;NA;NA;Meta
2010;Articulo;50;TOTAL;TOTAL;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;47;NA;NA;NA;NA;NA;NA;NA;Meta
2010;Articulo;50;wos;WOS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;NA;NA;NA;NA;Meta
2010;Articulo;52;scielo;SCIELO;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;NA;NA;NA;NA;NA;NA;Narińo
2010;Articulo;52;scopus;SCOPUS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;34;NA;NA;NA;NA;NA;Narińo
2010;Articulo;52;TOTAL;TOTAL;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;65;NA;NA;NA;NA;NA;NA;NA;Narińo
2010;Articulo;52;wos;WOS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;NA;NA;NA;NA;Narińo
2010;Articulo;54;scielo;SCIELO;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;NA;NA;NA;NA;NA;NA;Norte de Santander
2010;Articulo;54;scopus;SCOPUS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;NA;NA;NA;NA;NA;Norte de Santander
2010;Articulo;54;TOTAL;TOTAL;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;42;NA;NA;NA;NA;NA;NA;NA;Norte de Santander
2010;Articulo;54;wos;WOS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;16;NA;NA;NA;NA;Norte de Santander
2010;Articulo;63;scielo;SCIELO;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;32;NA;NA;NA;NA;NA;NA;Quindío
2010;Articulo;63;scopus;SCOPUS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;39;NA;NA;NA;NA;NA;Quindío
2010;Articulo;63;TOTAL;TOTAL;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;74;NA;NA;NA;NA;NA;NA;NA;Quindío
2010;Articulo;63;wos;WOS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;24;NA;NA;NA;NA;Quindío
2010;Articulo;66;scielo;SCIELO;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;48;NA;NA;NA;NA;NA;NA;Risaralda
2010;Articulo;66;scopus;SCOPUS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43;NA;NA;NA;NA;NA;Risaralda
2010;Articulo;66;TOTAL;TOTAL;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;87;NA;NA;NA;NA;NA;NA;NA;Risaralda
2010;Articulo;66;wos;WOS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23;NA;NA;NA;NA;Risaralda
2010;Articulo;68;scielo;SCIELO;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;157;NA;NA;NA;NA;NA;NA;Santander
2010;Articulo;68;scopus;SCOPUS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;240;NA;NA;NA;NA;NA;Santander
2010;Articulo;68;TOTAL;TOTAL;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;390;NA;NA;NA;NA;NA;NA;NA;Santander
2010;Articulo;68;wos;WOS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;169;NA;NA;NA;NA;Santander
2010;Articulo;70;scielo;SCIELO;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;16;NA;NA;NA;NA;NA;NA;Sucre
2010;Articulo;70;scopus;SCOPUS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;16;NA;NA;NA;NA;NA;Sucre
2010;Articulo;70;TOTAL;TOTAL;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;33;NA;NA;NA;NA;NA;NA;NA;Sucre
2010;Articulo;70;wos;WOS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12;NA;NA;NA;NA;Sucre
2010;Articulo;73;scielo;SCIELO;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;32;NA;NA;NA;NA;NA;NA;Tolima
2010;Articulo;73;scopus;SCOPUS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43;NA;NA;NA;NA;NA;Tolima
2010;Articulo;73;TOTAL;TOTAL;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;76;NA;NA;NA;NA;NA;NA;NA;Tolima
2010;Articulo;73;wos;WOS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;22;NA;NA;NA;NA;Tolima
2010;Articulo;76;scielo;SCIELO;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;313;NA;NA;NA;NA;NA;NA;Valle del Cauca
2010;Articulo;76;scopus;SCOPUS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;505;NA;NA;NA;NA;NA;Valle del Cauca
2010;Articulo;76;TOTAL;TOTAL;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;814;NA;NA;NA;NA;NA;NA;NA;Valle del Cauca
2010;Articulo;76;wos;WOS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;366;NA;NA;NA;NA;Valle del Cauca
2010;Articulo;8;scielo;SCIELO;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;81;NA;NA;NA;NA;NA;NA;Atlántico
2010;Articulo;8;scopus;SCOPUS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;112;NA;NA;NA;NA;NA;Atlántico
2010;Articulo;8;TOTAL;TOTAL;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;200;NA;NA;NA;NA;NA;NA;NA;Atlántico
2010;Articulo;8;wos;WOS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;73;NA;NA;NA;NA;Atlántico
2010;Articulo;88;scielo;SCIELO;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;San Andrés y Providencia
2010;Articulo;88;scopus;SCOPUS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;San Andrés y Providencia
2010;Articulo;88;TOTAL;TOTAL;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;San Andrés y Providencia
2010;Articulo;88;wos;WOS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;San Andrés y Providencia
2010;Articulo;91;scopus;SCOPUS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;Amazonas
2010;Articulo;91;TOTAL;TOTAL;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;Amazonas
2010;Articulo;91;wos;WOS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;Amazonas
2010;Articulo;97;scielo;SCIELO;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;Vaupés
2010;Articulo;97;scopus;SCOPUS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;Vaupés
2010;Articulo;97;TOTAL;TOTAL;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;Vaupés
2010;Articulo;97;wos;WOS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;Vaupés
2010;Articulo;99;scielo;SCIELO;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;Vichada
2010;Articulo;99;scopus;SCOPUS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;Vichada
2010;Articulo;99;TOTAL;TOTAL;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;Vichada
2010;Articulo;99;wos;WOS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;Vichada
2010;Articulo;9999;scielo;SCIELO;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;3087;NA;NA;NA;NA;NA;NA;NA
2010;Articulo;9999;scopus;SCOPUS;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3839;NA;NA;NA;NA;NA;NA
2010;Articulo;9999;TOTAL;TOTAL;Producción bibliográfica;NA;NA;NA;NA;NA;NA;NA;NA;7031;NA;NA;NA;NA;NA;NA;NA;NA
